country,code,continent,life_sat,good_day,typical_day,bad_day,happy_eb,happy_wvs,pop,gdp_cap,hdi,life_sat_sd,pos_affect,neg_affect,log_gdp,hlife_exp,gini,social,freedom,generosity,corruption_percep,gov_conf
Abkhazia,OWID_ABK,Asia,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Asia,4.220168591,,,,,,34499915,1739.58317665792,0.465,1.7962194681167603,0.5649526715278625,0.3483322858810425,7.497287750244141,49.87126541137695,,0.5590717792510986,0.5225661993026733,0.0573931522667408,0.7932455539703369,0.32498955726623535
Akrotiri and Dhekelia,OWID_AKD,Asia,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Europe,4.511100769,,,,59.073544,58.799999,3238316,11424.6283187309,0.733,2.6466681957244873,0.6752437353134155,0.32170599699020386,9.282299995422363,68.69837951660156,0.2896,0.6384114623069763,0.7298189401626587,-0.01792728900909424,0.901070773601532,0.40090981125831604
Algeria,DZA,Africa,5.388170719,,,,,79.89418,36983924,13974.6662247475,0.736,2.1094720363616943,0.6688381433486938,0.3713720142841339,9.549138069152832,64.82994842529297,,0.7481496930122375,,,,
American Samoa,ASM,Oceania,,,,,,,71834,,,,,,,,,,,,,
Andorra,AND,Europe,,,,,,92.878632,88909,,0.845,,,,,,,,,,,
Angola,AGO,Africa,3.794837952,,,,,,20714494,6024.7261381476,0.532,2.196711301803589,0.5785171389579773,0.36786413192749023,8.8473539352417,45.092994689941406,,0.7546154856681824,0.3745415508747101,-0.16449549794197083,0.8340756297111511,0.5723456740379333
Anguilla,AIA,North America,,,,,,,16158,,,,,,,,,,,,,
Antarctica,ATA,Antarctica,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,North America,,,,,,,91404,20777.6130830372,0.783,,,,,,,,,,,
Argentina,ARG,South America,6.427221298,48,45,6,,87.207031,41473982,18479.4422106049,0.836,2.127108573913574,0.841906726360321,0.3116464614868164,,67.4439926147461,0.4228,0.8828191161155701,0.8477022051811218,,0.8509244918823242,0.41956183314323425
Armenia,ARM,Asia,4.325471878,,,,,81.619659,3117722,8174.36673171871,0.733,2.126364231109619,0.5936002731323242,0.4372278153896332,8.989568710327148,65.40946960449219,0.3154,0.7092183232307434,0.6109869480133057,-0.15581442415714264,0.9214210510253906,0.18471303582191467
Aruba,ABW,North America,,,,,,,108883,35973.780509792,,,,,,,,,,,,
Australia,AUS,Oceania,7.250080109,33,60,6,,93.989067,23213944,44414.0294791008,0.935,1.698827862739563,0.7908682823181152,0.23608578741550446,10.696281433105469,72.5216293334961,0.3494,0.9423342347145081,0.9223157167434692,0.22308631241321564,0.39854511618614197,0.45273175835609436
Austria,AUT,Europe,7.048071861,,,,84.688965,,8441263,44143.7001647737,0.885,1.7044001817703247,0.7559025883674622,0.19742384552955627,10.694595336914062,71.6456527709961,0.3048,0.9263185858726501,0.88851398229599,0.07153727859258652,0.5236409902572632,0.4326382279396057
Austria-Hungary,OWID_AUH,Europe,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Asia,5.3038949970000004,,,,,81.836327,9533445,15994.0097416242,0.751,1.6131815910339355,0.5975934863090515,0.19111719727516174,9.691197395324707,62.044925689697266,,0.777271032333374,0.7125731706619263,-0.22822760045528412,0.6067708134651184,0.7340521216392517
Baden,OWID_BAD,Europe,,,,,,,,,,,,,,,,,,,,
Bahamas,BHS,North America,,,,,,,355233,21481.7260997181,0.79,,,,,,,,,,,
Bahrain,BHR,Asia,6.169673443,,,,,72.666672,1377273,44507.8299588669,0.824,2.259225606918335,0.7871872186660767,0.2834663391113281,10.70677661895752,65.96392059326172,,0.8627001047134399,0.8886910676956177,,,
Bangladesh,BGD,Asia,4.5561409,,,,,77.400002,154393847,3319.35355606232,0.57,1.9825828075408936,0.5599390864372253,0.23502245545387268,8.100569725036621,62.04618835449219,0.31980000000000003,0.6491169333457947,0.8747004866600037,-0.07981784641742706,0.6878536343574524,0.8454290628433228
Barbados,BRB,North America,,,,,,,275141,15588.2689865375,0.785,,,,,,,,,,,
Bavaria,OWID_BAV,Europe,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,Europe,5.177899361,,,,,65.306122,9498290,16742.2554956416,0.798,1.777631163597107,0.5538702011108398,0.1821061223745346,9.684698104858398,65.7647705078125,0.2601,0.926551103591919,0.6582288146018982,-0.13301832973957062,0.6640551686286926,0.45266902446746826
